i,j,value
-26,30,2.13358e-05
-26,31,0
-25,-31,0
-25,-30,8.07076e-05
-25,-29,0.000135081
-25,-28,0.000188811
-25,-27,0.000241779
-25,-26,0.000293871
-25,-25,0.000344969
-25,-24,0.00039496
-25,-23,0.000443729
-25,-22,0.000491165
-25,-21,0.000537154
-25,-20,0.000581587
-25,-19,0.000624357
-25,-18,0.000665356
-25,-17,0.000704483
-25,-16,0.000741636
-25,-15,0.000776721
-25,-14,0.000809646
-25,-13,0.000840324
-25,-12,0.000868674
-25,-11,0.000894622
-25,-10,0.000918098
-25,-9,0.000939043
-25,-8,0.000957401
-25,-7,0.00097313
-25,-6,0.00098619
-25,-5,0.000996555
-25,-4,0.00100421
-25,-3,0.00100913
-25,-2,0.00101134
-25,-1,0.00101083
-25,0,0.00100762
-25,1,0.00100174
-25,2,0.000993231
-25,3,0.000982135
-25,4,0.000968505
-25,5,0.000952403
-25,6,0.000933898
-25,7,0.000913065
-25,8,0.000889988
-25,9,0.000864752
-25,10,0.000837453
-25,11,0.000808187
-25,12,0.000777056
-25,13,0.000744165
-25,14,0.000709622
-25,15,0.000673537
-25,16,0.000636022
-25,17,0.00059719
-25,18,0.000557156
-25,19,0.000516033
-25,20,0.000473937
-25,21,0.000430981
-25,22,0.00038728
-25,23,0.000342946
-25,24,0.000298093
-25,25,0.000252831
-25,26,0.000207272
-25,27,0.000161524
-25,28,0.000115697
-25,29,6.98968e-05
-25,30,2.42301e-05
-25,31,0
-24,-31,0
-24,-30,9.08663e-05
-24,-29,0.000151827
-24,-28,0.000212063
-24,-27,0.000271444
-24,-26,0.000329839
-24,-25,0.000387119
-24,-24,0.000443155
-24,-23,0.000497819
-24,-22,0.000550984
-24,-21,0.000602527
-24,-20,0.000652322
-24,-19,0.00070025
-24,-18,0.000746191
-24,-17,0.00079003
-24,-16,0.000831656
-24,-15,0.000870961
-24,-14,0.000907843
-24,-13,0.000942205
-24,-12,0.000973957
-24,-11,0.00100301
-24,-10,0.0010293
-24,-9,0.00105275
-24,-8,0.0010733
-24,-7,0.0010909
-24,-6,0.00110551
-24,-5,0.0011171
-24,-4,0.00112565
-24,-3,0.00113115
-24,-2,0.0011336
-24,-1,0.001133
-24,0,0.00112938
-24,1,0.00112278
-24,2,0.00111322
-24,3,0.00110076
-24,4,0.00108547
-24,5,0.00106741
-24,6,0.00104665
-24,7,0.00102329
-24,8,0.000997413
-24,9,0.000969117
-24,10,0.000938509
-24,11,0.000905697
-24,12,0.000870795
-24,13,0.00083392
-24,14,0.000795195
-24,15,0.000754741
-24,16,0.000712684
-24,17,0.000669152
-24,18,0.000624271
-24,19,0.000578171
-24,20,0.000530979
-24,21,0.000482823
-24,22,0.000433832
-24,23,0.000384132
-24,24,0.00033385
-24,25,0.000283111
-24,26,0.000232038
-24,27,0.000180754
-24,28,0.000129381
-24,29,7.80399e-05
-24,30,2.6849e-05
-24,31,0
-23,-31,0
-23,-30,0.000100003
-23,-29,0.000166865
-23,-28,0.000232931
-23,-27,0.000298056
-23,-26,0.000362099
-23,-25,0.000424915
-23,-24,0.000486364
-23,-23,0.000546307
-23,-22,0.000604603
-23,-21,0.000661116
-23,-20,0.00071571
-23,-19,0.000768254
-23,-18,0.000818616
-23,-17,0.000866671
-23,-16,0.000912296
-23,-15,0.000955374
-23,-14,0.000995794
-23,-13,0.00103345
-23,-12,0.00106824
-23,-11,0.00110007
-23,-10,0.00112887
-23,-9,0.00115455
-23,-8,0.00117706
-23,-7,0.00119633
-23,-6,0.00121233
-23,-5,0.00122501
-23,-4,0.00123436
-23,-3,0.00124036
-23,-2,0.00124302
-23,-1,0.00124235
-23,0,0.00123836
-23,1,0.0012311
-23,2,0.0012206
-23,3,0.00120693
-23,4,0.00119015
-23,5,0.00117033
-23,6,0.00114756
-23,7,0.00112193
-23,8,0.00109355
-23,9,0.00106251
-23,10,0.00102894
-23,11,0.000992957
-23,12,0.000954681
-23,13,0.000914242
-23,14,0.000871773
-23,15,0.00082741
-23,16,0.000781289
-23,17,0.000733549
-23,18,0.00068433
-23,19,0.000633774
-23,20,0.000582021
-23,21,0.00052921
-23,22,0.000475484
-23,23,0.00042098
-23,24,0.000365837
-23,25,0.000310193
-23,26,0.000254183
-23,27,0.000197943
-23,28,0.000141605
-23,29,8.53029e-05
-23,30,2.91662e-05
-23,31,0
-22,-31,0
-22,-30,0.000108026
-22,-29,0.000180046
-22,-28,0.000251207
-22,-27,0.000321352
-22,-26,0.000390328
-22,-25,0.000457981
-22,-24,0.000524159
-22,-23,0.00058871
-22,-22,0.000651485
-22,-21,0.000712337
-22,-20,0.00077112
-22,-19,0.00082769
-22,-18,0.000881909
-22,-17,0.00093364
-22,-16,0.000982752
-22,-15,0.00102912
-22,-14,0.00107262
-22,-13,0.00111314
-22,-12,0.00115058
-22,-11,0.00118483
-22,-10,0.00121581
-22,-9,0.00124344
-22,-8,0.00126765
-22,-7,0.00128837
-22,-6,0.00130557
-22,-5,0.0013192
-22,-4,0.00132924
-22,-3,0.00133568
-22,-2,0.00133852
-22,-1,0.00133777
-22,0,0.00133346
-22,1,0.00132562
-22,2,0.0013143
-22,3,0.00129957
-22,4,0.00128148
-22,5,0.00126013
-22,6,0.0012356
-22,7,0.001208
-22,8,0.00117743
-22,9,0.001144
-22,10,0.00110785
-22,11,0.0010691
-22,12,0.00102788
-22,13,0.000984328
-22,14,0.000938593
-22,15,0.000890817
-22,16,0.000841149
-22,17,0.000789738
-22,18,0.000736734
-22,19,0.000682288
-22,20,0.000626553
-22,21,0.00056968
-22,22,0.000511819
-22,23,0.000453121
-22,24,0.000393734
-22,25,0.000333808
-22,26,0.000273488
-22,27,0.00021292
-22,28,0.000152247
-22,29,9.16134e-05
-22,30,3.11586e-05
-22,31,0
-21,-31,0
-21,-30,0.000114856
-21,-29,0.00019124
-21,-28,0.00026671
-21,-27,0.000341102
-21,-26,0.000414249
-21,-25,0.000485991
-21,-24,0.000556165
-21,-23,0.000624611
-21,-22,0.00069117
-21,-21,0.000755686
-21,-20,0.000818004
-21,-19,0.000877973
-21,-18,0.000935446
-21,-17,0.000990277
-21,-16,0.00104233
-21,-15,0.00109147
-21,-14,0.00113757
-21,-13,0.0011805
-21,-12,0.00122017
-21,-11,0.00125645
-21,-10,0.00128927
-21,-9,0.00131853
-21,-8,0.00134417
-21,-7,0.00136611
-21,-6,0.00138431
-21,-5,0.00139874
-21,-4,0.00140935
-21,-3,0.00141616
-21,-2,0.00141914
-21,-1,0.00141832
-21,0,0.00141373
-21,1,0.0014054
-21,2,0.00139339
-21,3,0.00137776
-21,4,0.00135858
-21,5,0.00133593
-21,6,0.00130992
-21,7,0.00128065
-21,8,0.00124823
-21,9,0.00121279
-21,10,0.00117446
-21,11,0.00113337
-21,12,0.00108966
-21,13,0.00104349
-21,14,0.000994994
-21,15,0.000944338
-21,16,0.000891676
-21,17,0.000837164
-21,18,0.000780963
-21,19,0.000723234
-21,20,0.000664136
-21,21,0.000603831
-21,22,0.000542478
-21,23,0.000480237
-21,24,0.000417266
-21,25,0.000353722
-21,26,0.000289761
-21,27,0.000225537
-21,28,0.000161202
-21,29,9.69091e-05
-21,30,3.28066e-05
-21,31,0
-20,-31,0
-20,-30,0.000120428
-20,-29,0.000200339
-20,-28,0.000279292
-20,-27,0.000357113
-20,-26,0.00043363
-20,-25,0.000508674
-20,-24,0.000582073
-20,-23,0.000653662
-20,-22,0.000723272
-20,-21,0.000790742
-20,-20,0.000855909
-20,-19,0.000918616
-20,-18,0.000978707
-20,-17,0.00103603
-20,-16,0.00109045
-20,-15,0.00114181
-20,-14,0.00119
-20,-13,0.00123487
-20,-12,0.00127633
-20,-11,0.00131425
-20,-10,0.00134853
-20,-9,0.0013791
-20,-8,0.00140588
-20,-7,0.00142879
-20,-6,0.00144779
-20,-5,0.00146284
-20,-4,0.0014739
-20,-3,0.00148096
-20,-2,0.00148404
-20,-1,0.00148315
-20,0,0.00147832
-20,1,0.0014696
-20,2,0.00145704
-20,3,0.0014407
-20,4,0.00142065
-20,5,0.00139697
-20,6,0.00136978
-20,7,0.00133917
-20,8,0.00130526
-20,9,0.0012682
-20,10,0.00122811
-20,11,0.00118514
-20,12,0.00113943
-20,13,0.00109114
-20,14,0.00104043
-20,15,0.000987452
-20,16,0.000932376
-20,17,0.000875367
-20,18,0.00081659
-20,19,0.000756213
-20,20,0.000694405
-20,21,0.000631332
-20,22,0.000567164
-20,23,0.000502066
-20,24,0.000436204
-20,25,0.000369742
-20,26,0.000302844
-20,27,0.000235671
-20,28,0.000168383
-20,29,0.000101139
-20,30,3.40946e-05
-20,31,0
-19,-31,0
-19,-30,0.000124687
-19,-29,0.000207256
-19,-28,0.000288831
-19,-27,0.000369234
-19,-26,0.000448287
-19,-25,0.000525813
-19,-24,0.000601637
-19,-23,0.000675585
-19,-22,0.000747487
-19,-21,0.000817172
-19,-20,0.000884475
-19,-19,0.000949231
-19,-18,0.00101128
-19,-17,0.00107047
-19,-16,0.00112666
-19,-15,0.00117968
-19,-14,0.00122942
-19,-13,0.00127574
-19,-12,0.00131852
-19,-11,0.00135765
-19,-10,0.00139303
-19,-9,0.00142457
-19,-8,0.00145218
-19,-7,0.0014758
-19,-6,0.00149535
-19,-5,0.00151079
-19,-4,0.00152208
-19,-3,0.00152922
-19,-2,0.00153223
-19,-1,0.00153118
-19,0,0.00152613
-19,1,0.00151715
-19,2,0.00150427
-19,3,0.00148752
-19,4,0.00146693
-19,5,0.00144258
-19,6,0.00141456
-19,7,0.00138298
-19,8,0.00134798
-19,9,0.0013097
