i,j,value
-26,8,0.00470783
-26,9,0.00433592
-26,10,0.00395728
-26,11,0.00357949
-26,12,0.00320926
-26,13,0.00285231
-26,14,0.00251332
-26,15,0.00219584
-26,16,0.00190237
-26,17,0.00163444
-26,18,0.00139264
-26,19,0.00117681
-26,20,0.000986115
-26,21,0.000819212
-26,22,0.000674333
-26,23,0.00054941
-26,24,0.000442167
-26,25,0.000350185
-26,26,0.00027096
-26,27,0.000201935
-26,28,0.000140518
-26,29,8.40879e-05
-26,30,2.99904e-05
-26,31,0
-25,-31,0
-25,-30,2.5107e-05
-25,-29,4.67902e-05
-25,-28,7.4292e-05
-25,-27,0.000109994
-25,-26,0.000156621
-25,-25,0.000217262
-25,-24,0.000295351
-25,-23,0.00039462
-25,-22,0.000518999
-25,-21,0.00067247
-25,-20,0.000858882
-25,-19,0.00108172
-25,-18,0.00134382
-25,-17,0.00164713
-25,-16,0.00199239
-25,-15,0.00237888
-25,-14,0.00280422
-25,-13,0.00326424
-25,-12,0.00375289
-25,-11,0.00426232
-25,-10,0.00478302
-25,-9,0.00530413
-25,-8,0.00581379
-25,-7,0.0062996
-25,-6,0.00674914
-25,-5,0.00715055
-25,-4,0.007493
-25,-3,0.00776725
-25,-2,0.00796603
-25,-1,0.00808439
-25,0,0.00811984
-25,1,0.00807249
-25,2,0.00794492
-25,3,0.00774203
-25,4,0.00747075
-25,5,0.00713965
-25,6,0.00675849
-25,7,0.00633782
-25,8,0.00588848
-25,9,0.00542118
-25,10,0.00494612
-25,11,0.00447269
-25,12,0.00400918
-25,13,0.00356267
-25,14,0.00313888
-25,15,0.0027422
-25,16,0.00237567
-25,17,0.00204113
-25,18,0.00173929
-25,19,0.00146989
-25,20,0.00123188
-25,21,0.00102355
-25,22,0.000842673
-25,23,0.000686673
-25,24,0.0005527
-25,25,0.000437738
-25,26,0.000338666
-25,27,0.0002523
-25,28,0.000175419
-25,29,0.000104772
-25,30,3.70699e-05
-25,31,0
-24,-31,0
-24,-30,3.30462e-05
-24,-29,6.13485e-05
-24,-28,9.70772e-05
-24,-27,0.000143249
-24,-26,0.000203296
-24,-25,0.000281081
-24,-24,0.000380874
-24,-23,0.000507286
-24,-22,0.000665139
-24,-21,0.000859285
-24,-20,0.00109437
-24,-19,0.00137454
-24,-18,0.00170312
-24,-17,0.00208229
-24,-16,0.0025127
-24,-15,0.00299322
-24,-14,0.00352065
-24,-13,0.0040896
-24,-12,0.00469239
-24,-11,0.0053192
-24,-10,0.0059582
-24,-9,0.00659599
-24,-8,0.00721799
-24,-7,0.00780907
-24,-6,0.00835413
-24,-5,0.00883883
-24,-4,0.00925015
-24,-3,0.00957708
-24,-2,0.00981103
-24,-1,0.00994624
-24,0,0.00998001
-24,1,0.00991274
-24,2,0.00974787
-24,3,0.00949159
-24,4,0.00915253
-24,5,0.00874128
-24,6,0.00826985
-24,7,0.00775112
-24,8,0.00719832
-24,9,0.00662446
-24,10,0.00604193
-24,11,0.00546209
-24,12,0.00489495
-24,13,0.00434905
-24,14,0.00383127
-24,15,0.00334686
-24,16,0.00289946
-24,17,0.00249122
-24,18,0.00212296
-24,19,0.00179433
-24,20,0.00150399
-24,21,0.00124984
-24,22,0.00102915
-24,23,0.000838762
-24,24,0.000675197
-24,25,0.000534778
-24,26,0.000413703
-24,27,0.000308103
-24,28,0.000214066
-24,29,0.000127648
-24,30,4.48755e-05
-24,31,0
-23,-31,0
-23,-30,4.26345e-05
-23,-29,7.88584e-05
-23,-28,0.000124374
-23,-27,0.000182931
-23,-26,0.000258764
-23,-25,0.000356612
-23,-24,0.000481683
-23,-23,0.000639561
-23,-22,0.000836048
-23,-21,0.00107694
-23,-20,0.00136772
-23,-19,0.00171324
-23,-18,0.00211729
-23,-17,0.00258223
-23,-16,0.00310857
-23,-15,0.00369462
-23,-14,0.00433619
-23,-13,0.00502648
-23,-12,0.00575595
-23,-11,0.00651253
-23,-10,0.00728182
-23,-9,0.00804757
-23,-8,0.00879225
-23,-7,0.00949771
-23,-6,0.010146
-23,-5,0.0107201
-23,-4,0.0112046
-23,-3,0.0115867
-23,-2,0.0118564
-23,-1,0.0120072
-23,0,0.0120362
-23,1,0.0119443
-23,2,0.0117359
-23,3,0.0114187
-23,4,0.0110031
-23,5,0.0105021
-23,6,0.00993007
-23,7,0.00930252
-23,8,0.00863524
-23,9,0.00794379
-23,10,0.00724289
-23,11,0.00654603
-23,12,0.0058651
-23,13,0.00521017
-23,14,0.00458937
-23,15,0.00400887
-23,16,0.00347294
-23,17,0.00298406
-23,18,0.00254315
-23,19,0.00214972
-23,20,0.00180215
-23,21,0.00149786
-23,22,0.0012336
-23,23,0.00100556
-23,24,0.000809569
-23,25,0.000641239
-23,26,0.000496025
-23,27,0.000369307
-23,28,0.000256425
-23,29,0.00015269
-23,30,5.33852e-05
-23,31,0
-22,-31,0
-22,-30,5.40183e-05
-22,-29,9.95617e-05
-22,-28,0.000156525
-22,-27,0.000229484
-22,-26,0.000323578
-22,-25,0.000444519
-22,-24,0.000598545
-22,-23,0.000792302
-22,-22,0.00103265
-22,-21,0.00132638
-22,-20,0.00167987
-22,-19,0.00209867
-22,-18,0.00258701
-22,-17,0.0031474
-22,-16,0.00378008
-22,-15,0.00448266
-22,-14,0.00524984
-22,-13,0.00607315
-22,-12,0.00694099
-22,-11,0.00783879
-22,-10,0.00874931
-22,-9,0.00965323
-22,-8,0.0105298
-22,-7,0.0113576
-22,-6,0.0121157
-22,-5,0.0127842
-22,-4,0.0133452
-22,-3,0.0137841
-22,-2,0.0140895
-22,-1,0.0142542
-22,0,0.0142751
-22,1,0.0141537
-22,2,0.0138955
-22,3,0.0135098
-22,4,0.0130094
-22,5,0.0124095
-22,6,0.0117272
-22,7,0.0109808
-22,8,0.0101889
-22,9,0.00936961
-22,10,0.00854031
-22,11,0.00771671
-22,12,0.00691267
-22,13,0.0061399
-22,14,0.00540785
-22,15,0.00472364
-22,16,0.0040922
-22,17,0.00351635
-22,18,0.00299708
-22,19,0.00253377
-22,20,0.00212445
-22,21,0.00176608
-22,22,0.00145478
-22,23,0.00118607
-22,24,0.000955038
-22,25,0.000756518
-22,26,0.000585167
-22,27,0.000435567
-22,28,0.000302255
-22,29,0.000179746
-22,30,6.25344e-05
-22,31,0
-21,-31,0
-21,-30,6.72827e-05
-21,-29,0.000123586
-21,-28,0.000193689
-21,-27,0.00028309
-21,-26,0.000397917
-21,-25,0.000544945
-21,-24,0.000731524
-21,-23,0.000965437
-21,-22,0.00125466
-21,-21,0.00160702
-21,-20,0.0020298
-21,-19,0.00252925
-21,-18,0.00311001
-21,-17,0.00377464
-21,-16,0.00452301
-21,-15,0.00535193
