i,j,value
-25,18,-0.0214886
-25,19,-0.0176305
-25,20,-0.014342
-25,21,-0.0115682
-25,22,-0.00925098
-25,23,-0.00733157
-25,24,-0.00575246
-25,25,-0.00445878
-25,26,-0.00339886
-25,27,-0.00252441
-25,28,-0.00179003
-25,29,-0.00115255
-25,30,-0.000569926
-25,31,0
-24,-31,0
-24,-30,-0.000107744
-24,-29,-0.000240154
-24,-28,-0.000415537
-24,-27,-0.000656728
-24,-26,-0.000992563
-24,-25,-0.00145939
-24,-24,-0.00210255
-24,-23,-0.00297769
-24,-22,-0.00415172
-24,-21,-0.00570328
-24,-20,-0.00772232
-24,-19,-0.0103087
-24,-18,-0.0135694
-24,-17,-0.0176141
-24,-16,-0.0225494
-24,-15,-0.0284708
-24,-14,-0.0354537
-24,-13,-0.0435425
-24,-12,-0.0527402
-24,-11,-0.0629974
-24,-10,-0.0742033
-24,-9,-0.0861799
-24,-8,-0.0986795
-24,-7,-0.111388
-24,-6,-0.123936
-24,-5,-0.135913
-24,-4,-0.146891
-24,-3,-0.15645
-24,-2,-0.164208
-24,-1,-0.169848
-24,0,-0.173145
-24,1,-0.173978
-24,2,-0.172341
-24,3,-0.168344
-24,4,-0.162195
-24,5,-0.154187
-24,6,-0.144672
-24,7,-0.134032
-24,8,-0.122657
-24,9,-0.110919
-24,10,-0.0991592
-24,11,-0.0876674
-24,12,-0.0766817
-24,13,-0.0663825
-24,14,-0.0568954
-24,15,-0.0482955
-24,16,-0.0406141
-24,17,-0.0338462
-24,18,-0.0279588
-24,19,-0.0228979
-24,20,-0.0185955
-24,21,-0.0149756
-24,22,-0.0119585
-24,23,-0.0094646
-24,24,-0.00741687
-24,25,-0.00574227
-24,26,-0.00437256
-24,27,-0.0032443
-24,28,-0.00229826
-24,29,-0.00147836
-24,30,-0.000730342
-24,31,0
-23,-31,0
-23,-30,-0.000145882
-23,-29,-0.000324485
-23,-28,-0.000560253
-23,-27,-0.000883568
-23,-26,-0.00133269
-23,-25,-0.00195576
-23,-24,-0.00281277
-23,-23,-0.00397732
-23,-22,-0.00553793
-23,-21,-0.00759866
-23,-20,-0.0102787
-23,-19,-0.0137107
-23,-18,-0.0180371
-23,-17,-0.0234045
-23,-16,-0.029956
-23,-15,-0.0378209
-23,-14,-0.0471027
-23,-13,-0.0578643
-23,-12,-0.0701138
-23,-11,-0.0837897
-23,-10,-0.0987476
-23,-9,-0.114752
-23,-8,-0.13147
-23,-7,-0.148481
-23,-6,-0.16528
-23,-5,-0.181309
-23,-4,-0.195981
-23,-3,-0.208719
-23,-2,-0.219
-23,-1,-0.226389
-23,0,-0.230581
-23,1,-0.231418
-23,2,-0.228905
-23,3,-0.223207
-23,4,-0.214626
-23,5,-0.203579
-23,6,-0.190559
-23,7,-0.176097
-23,8,-0.160726
-23,9,-0.144953
-23,10,-0.129231
-23,11,-0.113943
-23,12,-0.0993967
-23,13,-0.0858204
-23,14,-0.0733678
-23,15,-0.0621252
-23,16,-0.0521217
-23,17,-0.0433395
-23,18,-0.0357255
-23,19,-0.029201
-23,20,-0.0236705
-23,21,-0.01903
-23,22,-0.0151719
-23,23,-0.0119903
-23,24,-0.00938334
-23,25,-0.00725564
-23,26,-0.00551851
-23,27,-0.00409008
-23,28,-0.00289439
-23,29,-0.00185996
-23,30,-0.000917953
-23,31,0
-22,-31,0
-22,-30,-0.000193936
-22,-29,-0.000430508
